variant,completed_seeds,test_intention_macro_f1_mean,test_intention_macro_f1_std,test_intention_accuracy_mean,test_intention_accuracy_std,test_receiving_hand_macro_f1_mean,test_receiving_hand_macro_f1_std,test_pose_mae_cm_mean,test_pose_mae_cm_std,test_pose_end_to_end_mae_cm_mean,test_pose_end_to_end_mae_cm_std,test_pose_at_intention_checkpoint_mae_cm_mean,test_pose_at_intention_checkpoint_mae_cm_std,test_pose_end_to_end_at_intention_checkpoint_mae_cm_mean,test_pose_end_to_end_at_intention_checkpoint_mae_cm_std,test_intention_macro_f1_at_pose_checkpoint_mean,test_intention_macro_f1_at_pose_checkpoint_std,trainable_parameters_mean,trainable_parameters_std,wall_seconds_mean,wall_seconds_std,delta_intention_macro_f1_vs_full,delta_hand_macro_f1_vs_full,delta_pose_mae_cm_vs_full,parameter_change_vs_full
full,3,0.8579077420810391,0.0011874044747724884,0.9031378030776978,0.003236960113997177,0.9566792589822027,0.003526272500987017,14.624356905619303,0.10551911091588694,14.684276580810547,0.10648979084906696,15.95073127746582,0.798667013324109,15.800346692403158,0.7840966142564287,0.8456895451927403,0.009434540181149044,184015.0,0.0,,,0.0,0.0,0.0,0.0
no_gaze,3,0.7946430421325643,0.03408926855365656,0.8455358544985453,0.028358776190231944,0.9637677948672593,0.008892654407525763,14.287616729736328,0.3611254064673966,14.325624783833822,0.4372461001996642,14.774072329203287,0.15427986151852918,14.796358744303385,0.18093330939262128,0.7869737815004502,0.00930644420978341,176847.0,0.0,693.4614749416554,204.59320292621803,-0.06326469994847483,0.007088535885056535,-0.33674017588297467,-7168.0
no_hands,3,0.7519191133006146,0.028232887925500567,0.830377439657847,0.02080957652704348,0.4193086546949929,0.0048295787782872066,16.526939392089844,0.5453873509156194,23.146273930867512,0.17874763986693762,17.358518600463867,1.1666257783033938,23.726311365763348,0.910262749936397,0.7049947571897691,0.00848454778672447,179407.0,0.0,527.6011505983382,119.78160550337377,-0.10598862878042459,-0.5373706042872098,1.902582486470541,-4608.0
no_objects,3,0.8844923484032475,0.0019259677325368077,0.9199636181195577,0.0031724181246111957,0.9813879497763621,0.00835558011461555,14.255408922831217,0.22838898441386687,14.221017201741537,0.1428363806496304,14.491851170857748,0.5231229231678741,14.551100730895996,0.391821772751814,0.872573987757553,0.01229909571934397,170191.0,0.0,474.0188418943241,64.703399213789,0.02658460632220838,0.024708690794159383,-0.36894798278808594,-13824.0
no_vio,3,0.8222405079655579,0.015890429221461284,0.8776716788609823,0.0071614396859667456,0.9033901959077678,0.052169049465150774,15.0986909866333,0.9525957004658047,15.092027028401693,0.8645404667008627,15.319199879964193,0.5441526779448652,15.54945182800293,0.8644164375867055,0.8234951730025702,0.03222188857103215,181711.0,0.0,811.6350274803311,239.66192835695873,-0.03566723411548123,-0.05328906307443493,0.474334081013998,-2304.0
