platform,device,hostname,accelerator,torch_version,encoder_parameters,encoder_load_time_ms,preprocessing_cpu_mean_ms,preprocessing_cpu_median_ms,preprocessing_cpu_std_ms,preprocessing_cpu_p95_ms,preprocessing_cpu_p99_ms,preprocessing_cpu_fraction_within_realtime_threshold,encoder_forward_mean_ms,encoder_forward_median_ms,encoder_forward_std_ms,encoder_forward_p95_ms,encoder_forward_p99_ms,encoder_forward_fraction_within_realtime_threshold,rgb_to_embedding_mean_ms,rgb_to_embedding_median_ms,rgb_to_embedding_std_ms,rgb_to_embedding_p95_ms,rgb_to_embedding_p99_ms,rgb_to_embedding_fraction_within_realtime_threshold
mac_cpu,cpu,Mac.fritz.box,,2.12.0,151277313,1456.595917,16.93170835,16.8588125,0.416907229158792,17.29274165,19.35201975,1.0,35.695932328000005,35.830146,1.0927895956002192,37.24554165,37.91465191,1.0,49.778256875,50.521354,2.6306538658153324,53.308950349999996,54.21136393,1.0
mac_mps,mps,Mac.fritz.box,Apple Metal Performance Shaders,2.12.0,151277313,1844.352083,17.98399771,17.693875,1.1154124001548629,20.47558715,21.32286242,1.0,20.073995679,19.983874999999998,0.3068340000798933,20.60064615,21.39858801,1.0,41.234844375,40.783937,2.2668117007787427,45.1935646,49.04942858,1.0
tcml_cpu,cpu,tcml-node39,,2.4.1+cu124,151277313,2839.466887,21.781720344,21.778191999999997,0.30775347662832286,22.185812300000002,22.64425489,1.0,46.234400509,46.07154250000001,0.804631740709572,46.731455000000004,49.15401942999999,1.0,74.53356234,74.3931895,1.167521759518788,76.10585055,78.47507868,1.0
tcml_cuda,cuda,tcml-node39,NVIDIA GeForce RTX 2080 Ti,2.4.1+cu124,151277313,3316.542255,21.709164745,21.656003,0.6804884931843462,22.035981149999998,22.49970244,1.0,3.638357472,3.6066510000000003,0.07687707642410198,3.7749365999999998,3.8937149,1.0,26.004907005,25.9425965,0.27006407846485053,26.476507549999997,27.06835133,1.0
