seed,epoch,train_position_loss,train_orientation_loss,train_position_error_cm,train_intention_macro_f1,validation_position_loss,validation_orientation_loss,validation_position_error_cm,validation_intention_macro_f1
42,1,0.003859330135900037,0.07483341079049033,9.514193534851074,0.7917051999266311,0.0011410799164760618,0.023391700034300165,10.13525390625,0.781627055868
42,2,0.0034303468233127586,0.06007208899000512,9.570916175842285,0.8754631217856569,0.0011368307033638215,0.024526785249866907,9.169230461120605,0.8674090619909318
42,3,0.003467092873945244,0.061814578120890806,9.661288261413574,0.8936379802708466,0.0009923928404121749,0.02179836470168084,8.472362518310547,0.8501043528895055
42,4,0.003355954755794588,0.06062659092247486,9.253302574157715,0.9114833929610594,0.0010096296492490857,0.020703837098065583,8.545759201049805,0.8549973353752424
42,5,0.0035160015657464483,0.06033656224363337,9.449527740478516,0.9219316246324243,0.0013457814930006862,0.03233979849310051,10.088957786560059,0.8332502759093554
42,6,0.0033081443892335398,0.05972757563448364,9.460597038269043,0.9325998790173765,0.0009054970649876557,0.01888941312133665,8.947244644165039,0.8354120760508922
42,7,0.0033590384176367433,0.05794413175727976,9.017796516418457,0.9414622692911642,0.0009196651965706429,0.02098710252903402,8.89947509765625,0.8759980963152763
42,8,0.003271466612480397,0.056272677947203385,8.992203712463379,0.9433236447167243,0.0009012124854404735,0.02059983322021341,8.357436180114746,0.8608934161045013
42,9,0.0033853875868800586,0.056701818209288546,9.229391098022461,0.9481290700886812,0.0009232621532939975,0.0214067829806628,8.833580017089844,0.8549591918485331
42,10,0.003537184586518714,0.05826425755666079,9.327147483825684,0.9530941403990177,0.0008407120098596469,0.02007342107038224,9.266166687011719,0.8549511251058745
42,11,0.00328189425900315,0.054418930998562196,8.99510383605957,0.9571948033062819,0.0009943622222166478,0.023385613830009054,9.637186050415039,0.8500263730211551
42,12,0.0033752571147143548,0.055830823391136764,9.242570877075195,0.9625060178798478,0.0008676751543046726,0.015997492648180452,9.558392524719238,0.8663183651671681
42,13,0.0031957709731183347,0.05227156804114776,8.98050308227539,0.965481830212331,0.000720910152238268,0.015023484465575988,7.837098121643066,0.8530528590271858
42,14,0.003203168932166974,0.053558827631610545,8.953546524047852,0.9669421521289817,0.0011610132585760326,0.015602984540765323,12.185098648071289,0.8393923253700083
43,1,0.003823598835915618,0.07076253013244192,9.43067455291748,0.7964323001852529,0.0010167400107621365,0.02016879593570446,9.18995475769043,0.8585249377289653
43,2,0.0034460886077852734,0.06204834679215166,9.440343856811523,0.8817969801636835,0.0009334367203982472,0.019380695498248023,8.343657493591309,0.852810389916927
43,3,0.003414461230150712,0.0599469479300866,9.438817977905273,0.8950745222164964,0.0009056178528079463,0.01818193967694477,9.386329650878906,0.8721469364142983
43,4,0.0035821235756463322,0.058672886944473965,9.425052642822266,0.913663394149078,0.0008823018938381856,0.018570559891691853,9.149524688720703,0.8644448519842239
43,5,0.0037268803053743076,0.060789913306086275,9.521011352539062,0.921789108851689,0.0008325689020620625,0.015239274746084946,7.866043567657471,0.8695433759038086
43,6,0.0032916646518922213,0.05529845241653292,9.090204238891602,0.9349136561869954,0.000975898835496346,0.01974366743478083,10.173955917358398,0.8489181830300231
43,7,0.0034365247696481866,0.05664478700706049,9.131429672241211,0.9393105424766207,0.0007999582809838278,0.015509978886843929,8.15206527709961,0.8512574010089974
43,8,0.0033604139630379476,0.05821209031500314,9.486166000366211,0.9461748543293992,0.0008893104175278436,0.0173879842003507,8.874689102172852,0.8452631504938674
43,9,0.0032625677972536273,0.05375361458324876,9.28995418548584,0.9478463614753029,0.000813208200974435,0.0159938401024368,8.320245742797852,0.8455124610716891
43,10,0.003202727371849745,0.05389363642634922,9.277612686157227,0.9527788476880931,0.0008787222500212656,0.022125219171416136,8.592276573181152,0.8590534102711005
44,1,0.003972918955593118,0.07189433453825156,9.426279067993164,0.7970800620576952,0.0008680201002378806,0.017960675443793015,7.59661340713501,0.8275493734909186
44,2,0.0035968467796345448,0.06225944702366465,9.5433931350708,0.8745077557216137,0.0008212121358097178,0.016514407551561992,8.28512191772461,0.8310412148815937
44,3,0.0037269040538261545,0.06548964145005141,9.553556442260742,0.8971559564413986,0.0008955066588250995,0.018896659494437758,8.669343948364258,0.8488076346026605
44,4,0.0035272367441288414,0.06183946465767038,9.26397705078125,0.9085293097301874,0.0010127360036412643,0.017618073317627873,8.617671012878418,0.8396551935902248
44,5,0.00351574121629758,0.05873196299751534,9.246455192565918,0.9197729518270003,0.0008579992522314687,0.017233651467493824,8.57673168182373,0.8499047069387532
44,6,0.0032554730917878547,0.05895872417469754,9.16115951538086,0.9291470730845938,0.0009839833151237408,0.02096682270583246,8.887939453125,0.8520878472494283
44,7,0.0033326429878539595,0.056419969842475104,9.308279991149902,0.937454795544312,0.0008730333166538678,0.01677669762378378,9.328389167785645,0.8635823921479783
44,8,0.0035179573327408626,0.06002820815915536,9.196980476379395,0.9452549942549698,0.00081490917833552,0.01697412695014669,8.797934532165527,0.8442347472686618
44,9,0.0037440475224560176,0.06075204241334608,9.431082725524902,0.9453683625898234,0.0008947072546429661,0.019613404942285872,9.19266414642334,0.8375877100610406
44,10,0.0035239813595609646,0.057872864117502774,9.055255889892578,0.9534685606310607,0.0007014139182208437,0.015966146062466227,7.575098514556885,0.8755179451412558
44,11,0.0033879587920397935,0.05518867727148494,8.920586585998535,0.9569419766684821,0.0007413613552231372,0.014974433040591859,8.103978157043457,0.8534883283238637
44,12,0.003472144672029428,0.05520318706642444,8.944690704345703,0.9577073562271549,0.0007378099197071165,0.015384999764782767,7.841978073120117,0.8616102712021894
44,13,0.00337150628745899,0.055393149012356604,9.338179588317871,0.9616473839829395,0.0008374930574415973,0.01883643785596735,8.89189624786377,0.842333128388634
44,14,0.003235935246377362,0.05249257404369449,8.972854614257812,0.966832476482295,0.000746733213036937,0.015569429198700574,7.743399620056152,0.8715251551651712
44,15,0.003327796144486025,0.05352563883741631,9.075506210327148,0.9674440765044862,0.001042114075737059,0.02289888560171089,10.320112228393555,0.8406562777712153
44,16,0.0034409843024561845,0.054099448703621565,9.16873836517334,0.9702081689893279,0.000836911249808186,0.01788693544034275,9.589200019836426,0.8703681378944662
44,17,0.0036027829587271156,0.0547568472271393,9.20290470123291,0.969290807201508,0.0007618472879673186,0.017650101994795185,7.664611339569092,0.8497221698223226
