split,participant,sequence_id,endpoint_row,endpoint_timestamp_ns,receiving_hand,last_observation_age_seconds,velocity_fit_samples,estimated_speed_m_s,last_observation_source,constant_velocity_source,target_x,target_y,target_z,target_qx,target_qy,target_qz,target_qw,training_mean_x,training_mean_y,training_mean_z,training_mean_qx,training_mean_qy,training_mean_qz,training_mean_qw,last_observation_x,last_observation_y,last_observation_z,last_observation_qx,last_observation_qy,last_observation_qz,last_observation_qw,constant_velocity_x,constant_velocity_y,constant_velocity_z,constant_velocity_qx,constant_velocity_qy,constant_velocity_qz,constant_velocity_qw
train,Berat,Berat_10_20260616_142950,939,1074379011000,right,0.0,16,0.009965794950627604,last_observation,constant_velocity,0.297166645526886,0.3199487626552582,-0.004814866930246353,0.35847902297973633,0.49959325790405273,0.4914689064025879,0.6167314648628235,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.29582449793815613,0.31982845067977905,-0.010510134510695934,0.3255472183227539,0.5062020421028137,0.48578476905822754,0.6338704228401184,0.2976280450820923,0.32544904947280884,-0.002480617258697748,0.3255472183227539,0.5062020421028137,0.48578476905822754,0.6338704228401184
train,Berat,Berat_10_20260616_142950,949,1074712345000,right,0.0,16,0.010296391132624955,last_observation,constant_velocity,0.28595417737960815,0.31519708037376404,0.01103439275175333,0.2756302058696747,0.4821315407752991,0.5359207987785339,0.6358978152275085,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.29476872086524963,0.3231006860733032,-0.012259778566658497,0.33306241035461426,0.5108667016029358,0.48131343722343445,0.6296205520629883,0.2940828204154968,0.3326656222343445,-0.01600908860564232,0.33306241035461426,0.5108667016029358,0.48131343722343445,0.6296205520629883
train,Berat,Berat_10_20260616_142950,959,1075045678000,right,0.0,16,0.008239670008762162,last_observation,constant_velocity,0.1850365400314331,0.2675039768218994,0.09739480167627335,-0.23089036345481873,0.022259345278143883,0.5670585036277771,0.7903409600257874,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.29529011249542236,0.32098081707954407,-0.008061308413743973,0.3567335605621338,0.5130149126052856,0.47376054525375366,0.6205705404281616,0.29134631156921387,0.3199980556964874,-0.0008938215323723853,0.3567335605621338,0.5130149126052856,0.47376054525375366,0.6205705404281616
train,Berat,Berat_10_20260616_142950,969,1075379011000,right,0.0,16,0.014171904993767501,last_observation,constant_velocity,0.12081297487020493,0.2682499289512634,0.08821585774421692,-0.3055777847766876,-0.15402908623218536,0.37846726179122925,0.8600347638130188,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.297166645526886,0.3199487626552582,-0.004814866930246353,0.35847902297973633,0.49959325790405273,0.4914689064025879,0.6167314648628235,0.3056061565876007,0.32172298431396484,0.006431004032492638,0.35847902297973633,0.49959325790405273,0.4914689064025879,0.6167314648628235
train,Berat,Berat_10_20260616_142950,979,1075712345000,right,0.0,16,0.02287446152818785,last_observation,constant_velocity,0.123732790350914,0.27902549505233765,0.06918808072805405,-0.28654956817626953,-0.22856645286083221,0.34082502126693726,0.8657280206680298,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.28595417737960815,0.31519708037376404,0.01103439275175333,0.2756302058696747,0.4821315407752991,0.5359207987785339,0.6358978152275085,0.27299076318740845,0.3035432994365692,0.025845874100923538,0.2756302058696747,0.4821315407752991,0.5359207987785339,0.6358978152275085
train,Berat,Berat_10_20260616_142950,989,1076045678000,right,0.0,16,0.35783175697990555,last_observation,constant_velocity,0.12601535022258759,0.28368690609931946,0.06470314413309097,-0.3000834584236145,-0.22632665932178497,0.3414529263973236,0.8614732623100281,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.1850365400314331,0.2675039768218994,0.09739480167627335,-0.23089036345481873,0.022259345278143883,0.5670585036277771,0.7903409600257874,-0.04779024422168732,0.15873071551322937,0.34640008211135864,-0.23089036345481873,0.022259345278143883,0.5670585036277771,0.7903409600257874
train,Berat,Berat_10_20260616_142950,999,1076379011000,right,0.0,16,0.2597063057879175,last_observation,constant_velocity,0.12937986850738525,0.28579360246658325,0.06171773746609688,-0.30073416233062744,-0.22943298518657684,0.34648749232292175,0.8584089279174805,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.12081297487020493,0.2682499289512634,0.08821585774421692,-0.3055777847766876,-0.15402908623218536,0.37846726179122925,0.8600347638130188,-0.1320185512304306,0.21803273260593414,0.11986731737852097,-0.3055777847766876,-0.15402908623218536,0.37846726179122925,0.8600347638130188
train,Berat,Berat_10_20260616_142950,1009,1076712345000,right,0.0,16,0.07893904045198358,last_observation,constant_velocity,0.1296653151512146,0.2856312096118927,0.06238053739070892,-0.3193700313568115,-0.23535259068012238,0.3383244276046753,0.8533162474632263,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.123732790350914,0.27902549505233765,0.06918808072805405,-0.28654956817626953,-0.22856645286083221,0.34082502126693726,0.8657280206680298,0.10062962770462036,0.31334343552589417,0.0019579248037189245,-0.28654956817626953,-0.22856645286083221,0.34082502126693726,0.8657280206680298
train,Berat,Berat_10_20260616_142950,1019,1077045678000,right,0.0,16,0.035168742620918736,last_observation,constant_velocity,0.1321205198764801,0.2859856188297272,0.06947001069784164,-0.31430888175964355,-0.20870272815227509,0.3567406237125397,0.8546281456947327,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.12601535022258759,0.28368690609931946,0.06470314413309097,-0.3000834286212921,-0.22632664442062378,0.3414528965950012,0.8614732027053833,0.1346808224916458,0.30006763339042664,0.03481298312544823,-0.3000834286212921,-0.22632664442062378,0.3414528965950012,0.8614732027053833
train,Berat,Berat_10_20260616_142950,1029,1077379011000,right,0.0,16,0.013023700417340797,last_observation,constant_velocity,0.21254974603652954,0.26725950837135315,0.07447422295808792,0.02223561517894268,0.1901116520166397,0.5274220705032349,0.8277615308761597,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.12937986850738525,0.28579360246658325,0.06171773746609688,-0.30073416233062744,-0.22943298518657684,0.34648749232292175,0.8584089279174805,0.136707603931427,0.29206475615501404,0.05296596139669418,-0.30073416233062744,-0.22943298518657684,0.34648749232292175,0.8584089279174805
train,Berat,Berat_10_20260616_142950,1039,1077712344000,right,0.0,16,0.010434672536634736,last_observation,constant_velocity,0.28962430357933044,0.27447283267974854,0.010736714117228985,0.33667248487472534,0.5261757969856262,0.512690007686615,0.5890159606933594,0.27111291885375977,0.38503873348236084,0.10074534267187119,-0.30856773257255554,-0.20949196815490723,0.46185851097106934,0.8047271370887756,0.1296653151512146,0.2856312096118927,0.06238053739070892,-0.31937000155448914,-0.23535257577896118,0.3383243978023529,0.8533161878585815,0.13544143736362457,0.2941707968711853,0.060769930481910706,-0.31937000155448914,-0.23535257577896118,0.3383243978023529,0.8533161878585815
