model,seed,run_dir,best_epoch,validation_intention_macro_f1,validation_pose_at_intention_checkpoint_mae_cm,test_intention_macro_f1,test_intention_accuracy,test_receiving_hand_macro_f1,test_pose_mae_cm,test_pose_end_to_end_mae_cm,test_pose_at_intention_checkpoint_mae_cm,test_pose_end_to_end_at_intention_checkpoint_mae_cm,test_intention_macro_f1_at_pose_checkpoint,trainable_parameters,test_evaluation_skipped
baseline,42,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/benchmark_v2/residual_v2/benchmark_v2_residual_v2_seed42,6,0.9295669575699375,8.470033645629883,0.8566509922081949,0.9076853394508362,0.9591727101799623,14.504495620727539,14.56942081451416,15.238311767578125,15.145304679870605,0.842730260458341,184015,False
tuned,42,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_tuned_v1/residual_v2_tuned/residual_v2_tuned_v1_residual_v2_tuned_seed42,10,0.9338260148819328,8.81955337524414,0.8685405080122851,0.9108685851097107,0.9591727101799623,15.422879219055176,15.526749610900879,15.353517532348633,15.352007865905762,0.808309750718292,63023,False
baseline,43,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/benchmark_v2/residual_v2/benchmark_v2_residual_v2_seed43,16,0.930793056491234,8.223309516906738,0.8575715814308219,0.9004092812538147,0.9516923565866836,14.607304573059082,14.657346725463867,17.06598472595215,16.90272331237793,0.8584362989040306,184015,False
tuned,43,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_tuned_v1/residual_v2_tuned/residual_v2_tuned_v1_residual_v2_tuned_seed43,16,0.9335747040233356,9.001890182495117,0.8598579803278009,0.9004092812538147,0.8820943762120232,15.601468086242676,15.886640548706055,15.422001838684082,15.553056716918945,0.8363012026370938,63023,False
baseline,44,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/benchmark_v2/residual_v2/benchmark_v2_residual_v2_seed44,7,0.9110362029667077,9.38381290435791,0.8595006526041008,0.9013187885284424,0.9591727101799623,14.761270523071289,14.826062202453613,15.547897338867188,15.353012084960938,0.8359020762158492,184015,False
tuned,44,/home/eker/Master-Thesis---Multi-modal-User-Intention-Estimation-and-Hand-Position-Prediction/Training/runs/dataset_v2_20260802_n214_5d136a34/residual_v2_tuned_v1/residual_v2_tuned/residual_v2_tuned_v1_residual_v2_tuned_seed44,15,0.9223376644342892,9.521207809448242,0.8608214238585967,0.9081400632858276,0.9633867276887871,14.596298217773438,14.581887245178223,15.881204605102539,15.684003829956055,0.8458248564058463,63023,False
