model,completed_seeds,validation_intention_macro_f1_mean,validation_intention_macro_f1_std,validation_pose_at_intention_checkpoint_mae_cm_mean,validation_pose_at_intention_checkpoint_mae_cm_std,test_intention_macro_f1_mean,test_intention_macro_f1_std,test_intention_accuracy_mean,test_intention_accuracy_std,test_receiving_hand_macro_f1_mean,test_receiving_hand_macro_f1_std,test_pose_mae_cm_mean,test_pose_mae_cm_std,test_pose_end_to_end_mae_cm_mean,test_pose_end_to_end_mae_cm_std,test_pose_at_intention_checkpoint_mae_cm_mean,test_pose_at_intention_checkpoint_mae_cm_std,test_pose_end_to_end_at_intention_checkpoint_mae_cm_mean,test_pose_end_to_end_at_intention_checkpoint_mae_cm_std,test_intention_macro_f1_at_pose_checkpoint_mean,test_intention_macro_f1_at_pose_checkpoint_std,trainable_parameters_mean,trainable_parameters_std,generalization_gap_f1,delta_test_intention_macro_f1_mean_vs_baseline,delta_test_intention_accuracy_mean_vs_baseline,delta_test_receiving_hand_macro_f1_mean_vs_baseline,delta_test_pose_mae_cm_mean_vs_baseline,delta_trainable_parameters_mean_vs_baseline
baseline,3,0.923798739009293,0.009038346984558568,8.69238535563151,0.49918082246609935,0.8579077420810391,0.0011874044747724884,0.9031378030776978,0.003236960113997177,0.9566792589822027,0.003526272500987017,14.624356905619303,0.10551911091588694,14.684276580810547,0.10648979084906696,15.95073127746582,0.798667013324109,15.800346692403158,0.7840966142564287,0.8456895451927403,0.009434540181149044,184015.0,0.0,0.06589099692825384,0.0,0.0,0.0,0.0,0.0
tuned,3,0.9299127944465192,0.005357408285950286,9.114217122395834,0.29725717522056416,0.8630733040662276,0.0038858542690205873,0.906472643216451,0.004429783783535428,0.9348846046935909,0.03736795109219714,15.206881841023764,0.437860530768227,15.331759134928385,0.5502189019270315,15.552241325378418,0.23428636979659412,15.52968947092692,0.136540228932379,0.8301452699204107,0.015922048013082116,63023.0,0.0,0.06683949038029158,0.0051655619851884715,0.003334840138753292,-0.021794654288611826,0.5825249354044608,-120992.0
