run_name,model_type,model,seed,epoch,best_intention_epoch,best_pose_epoch,train_intention_macro_f1,validation_intention_macro_f1,train_assistance_macro_f1,validation_assistance_macro_f1,validation_pose_position_mae_cm,validation_pose_orientation_mean_deg,train_loss_total,validation_loss_total,train_loss_assistance,validation_loss_assistance,train_loss_assistance_type,validation_loss_assistance_type,train_loss_receiving_hand,validation_loss_receiving_hand,train_loss_position,validation_loss_position,train_loss_orientation,validation_loss_orientation
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,1,8,5,0.8209490557877541,0.8933839901823163,0.8925663137876358,0.9555011124721882,21.72161865234375,32.52421188354492,0.558570562468152,0.24637919588712975,0.24463449635762863,0.13642622987806266,0.24957963403547861,0.1000392836930197,,,0.015743479312026912,0.0037642108800355345,0.19445181182387444,0.024597884105917598
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,2,8,5,0.9075223580476767,0.9098413277272824,0.9404671598930453,0.9526843899954598,15.541333198547363,33.57267379760742,0.3107469613302727,0.22133794918772765,0.14789129292141678,0.13950397896821545,0.1185946359601871,0.07276721526536026,,,0.010927612827269432,0.0021268873263449806,0.13333368078743055,0.027759477321524173
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,3,8,5,0.9364189602157417,0.9136696466068441,0.958660704532401,0.9548242567789531,15.382838249206543,29.691993713378906,0.23229833019479196,0.24843385282084846,0.10872133771288847,0.11512059049502048,0.08580597417270248,0.1259839834705677,,,0.009216328464962988,0.0020504144007905518,0.11421875764260139,0.021115455684983835
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,4,8,5,0.9474709586432287,0.906934464530146,0.9658032562528687,0.9425498065471172,18.105810165405273,37.366729736328125,0.19581563929611756,0.28242206228605937,0.08981928725811074,0.16992515726347587,0.07158836738504103,0.102222559182597,,,0.008134167278579194,0.0031216139458203024,0.10509526833033857,0.028610918088816106
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,5,8,5,0.9535037547515021,0.9134846404479479,0.9703829241100519,0.9528122765461395,14.37532901763916,33.2375373840332,0.16581460261179823,0.3129347397059194,0.07457743858431165,0.16375146455772796,0.061136425339240776,0.14054958520747668,,,0.007279718236484334,0.0024288576855074745,0.09128408050354646,0.024819341804166988
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,6,8,5,0.9619660527486625,0.9128179775151222,0.9757539517165206,0.9539075860224417,17.494861602783203,37.25303649902344,0.1448842278483484,0.4354522327495423,0.06470061012722943,0.19676134335129195,0.05305157691278833,0.22849940861309342,,,0.006399569859052465,0.0025897046725731343,0.08292988461439577,0.030407095327973366
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,7,8,5,0.9701172818879852,0.9089264865105843,0.9807941155302581,0.942736733741897,21.58709716796875,31.572132110595703,0.1226391993794297,0.38705827611894555,0.050986662827962985,0.20284131655599985,0.045005518030606886,0.17489439139444585,,,0.006195162806565583,0.003994152170240081,0.08180742102889643,0.02131366475285696
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,8,8,5,0.9730853854945115,0.9191791349680534,0.9830164725791938,0.9540064224490001,18.055133819580078,36.78407669067383,0.10938441139169353,0.4599180053957233,0.04636410391636996,0.20705009055979776,0.04009730628173684,0.2435288881366741,,,0.00540055450720308,0.0027691670298476572,0.07008978681307579,0.026279440432387804
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,9,8,5,0.9729178857371606,0.9142969069922368,0.984238899491775,0.9526020646097335,16.738174438476562,34.312767028808594,0.10613702119256128,0.4537273205409552,0.043938324570522776,0.2444291855969303,0.0395042424422037,0.2006702642814194,,,0.005349313155523944,0.0025596163468435407,0.06938056407887326,0.024272988101334443
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,10,8,5,0.9816274013036125,0.9075571784950345,0.9883996417629834,0.9480483167229434,18.834775924682617,39.195987701416016,0.08581002378081441,0.45961113563570116,0.0387272655923339,0.2594131030303158,0.025969541489617297,0.18968903644595717,,,0.005159203730928834,0.003146038511269061,0.06381605135184595,0.029451814097618417
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,11,8,5,0.9826091383487783,0.8948729944002496,0.9878034121062098,0.9399677753806954,16.72931671142578,37.50996780395508,0.07250906430957323,0.49884467287146045,0.03522012188259183,0.289664912578246,0.017939793341650995,0.1980294805320426,,,0.004719976382940986,0.003117017852283815,0.05851669142392,0.032133057863185446
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,12,8,5,0.9836973325952885,0.911941223904842,0.9897218176063607,0.951939951939952,21.27750587463379,42.591304779052734,0.07287896677709807,0.5159017173727339,0.03107493052935094,0.27988474795785934,0.02249819142371609,0.22367178206326546,,,0.004911058639173136,0.0035366942673655494,0.057579144001897675,0.03523398185747543
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,13,8,5,0.9849079603474203,0.8976298250324014,0.9901237014004776,0.9545846406390205,19.063980102539062,37.246700286865234,0.07449666644940722,0.555922239238758,0.03102279912780766,0.2600223824892477,0.025437614640019098,0.28590903900508075,,,0.004489087840439019,0.0029845234073166338,0.05418865982464816,0.028025150881148875
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,14,8,5,0.9856645417702309,0.9179522027897322,0.99093347942469,0.9554799023559206,18.807775497436523,43.74282455444336,0.06502636572489998,0.5236664359636052,0.03054997667333562,0.2650938193807763,0.018085595181972156,0.24624782905277495,,,0.004037803193340798,0.0029062732168573086,0.04941196217807146,0.037674062635882626
final_clean_v1_transformer_v1_seed42,hierarchical_gated_multimodal_transformer,Transformer v1,42,15,8,5,0.9853029970760218,0.9136660525760995,0.99002253812053,0.9564841618743161,20.737852096557617,35.92681884765625,0.06360715708448267,0.6479894279591788,0.02911929899273249,0.2592516875585521,0.01779512610377856,0.3787262385986386,,,0.004069871996931933,0.003566095293665837,0.050491438448190165,0.025781636891354407
final_clean_v1_transformer_v1_seed43,hierarchical_gated_multimodal_transformer,Transformer v1,43,1,2,13,0.8293809906803832,0.9069299460082186,0.8977813352652144,0.9560968129260248,15.989383697509766,43.86857223510742,0.5539376410837598,0.2661056754004676,0.23344145969381833,0.14317876303019667,0.250751041797731,0.11081448624359577,,,0.01878055866194058,0.0028982620673819576,0.20385833235006812,0.03685667794863028
final_clean_v1_transformer_v1_seed43,hierarchical_gated_multimodal_transformer,Transformer v1,43,2,2,13,0.9206760842424103,0.9140580371297283,0.9510708977089726,0.9572571612891665,18.660614013671875,40.748069763183594,0.2825488040750472,0.2529674091139376,0.1313068122947833,0.13488626154555408,0.10775461329592517,0.10704859867161888,,,0.011212498950161062,0.0030179670242692475,0.12909951760995667,0.03205832002484905
final_clean_v1_transformer_v1_seed43,hierarchical_gated_multimodal_transformer,Transformer v1,43,3,2,13,0.9339190739506278,0.891274733496287,0.9584516697217081,0.9423883487872351,18.933979034423828,38.94870376586914,0.22808061768205798,0.37213970185777207,0.10527312841250103,0.171849947350503,0.08622914326713901,0.1882982205497683,,,0.00899413200322696,0.003403691015721831,0.11033685668303737,0.03435137402266264
final_clean_v1_transformer_v1_seed43,hierarchical_gated_multimodal_transformer,Transformer v1,43,4,2,13,0.9508709150336875,0.8922183117293895,0.9694405595332098,0.9485025664040283,22.626317977905273,51.11915588378906,0.18763513556537667,0.3796082280979525,0.08766334616299447,0.17321651646696928,0.06523081702450033,0.18979289950064931,,,0.009092899978262,0.004363990025012754,0.10259228788109892,0.048939255132739036
final_clean_v1_transformer_v1_seed43,hierarchical_gated_multimodal_transformer,Transformer v1,43,5,2,13,0.9568602604145283,0.8904627625855247,0.9725754678417593,0.9503052412150089,18.934120178222656,49.41651153564453,0.15910745392290132,0.42400338228175577,0.07302008853015644,0.16238721426348743,0.05670657573144275,0.24601378974849858,,,0.007297034967119151,0.0034210386303519563,0.0883350183633387,0.048725381892706664
final_clean_v1_transformer_v1_seed43,hierarchical_gated_multimodal_transformer,Transformer v1,43,6,2,13,0.968803631032042,0.8961205255195349,0.9803850952158445,0.9541680077244931,16.927576065063477,40.614776611328125,0.12925500458692887,0.4178082812413777,0.05577684038080433,0.16697547632455617,0.045161365415224176,0.23992927616434048,,,0.006554368465141673,0.0025355044708703645,0.08704971928833699,0.03347208402452192
final_clean_v1_transformer_v1_seed43,hierarchical_gated_multimodal_transformer,Transformer v1,43,7,2,13,0.9701405599370961,0.8994216707233447,0.9806584764926756,0.9495571815012389,18.57958221435547,48.825958251953125,0.1265392215167642,0.43665016242136645,0.05964605057946034,0.18185936296283348,0.04135453972717969,0.2404182274121922,,,0.006085755136176271,0.0030441311911480235,0.07781150504680616,0.04531376017257571
