model_type,model,epoch,seed_count,train_loss_total_mean,train_loss_total_std,validation_loss_total_mean,validation_loss_total_std,train_intention_macro_f1_mean,train_intention_macro_f1_std,validation_intention_macro_f1_mean,validation_intention_macro_f1_std,validation_pose_position_mae_cm_mean,validation_pose_position_mae_cm_std
hierarchical_gated_multimodal_transformer,Transformer v1,1,3,0.566676998621376,0.01820099794212654,0.2601972661172372,0.012008561559089803,0.82518064003002,0.004216054217076816,0.901284743962561,0.007049032914511985,21.0799134572347,4.801943294063606
hierarchical_gated_multimodal_transformer,Transformer v1,2,3,0.30436665621976233,0.01942993597448458,0.23619137880346638,0.015902137556928313,0.9129185017871354,0.006887483053185789,0.913145889099677,0.002955992345496719,16.929458300272625,1.5876809192372483
hierarchical_gated_multimodal_transformer,Transformer v1,3,3,0.2287685742549258,0.0032410094788078636,0.2874073079150375,0.07345879549036471,0.9348357756673032,0.0013767742583308323,0.9073526324474668,0.014029938960896503,16.28580093383789,2.3317338731451693
hierarchical_gated_multimodal_transformer,Transformer v1,4,3,0.1882543408676649,0.007271495929409662,0.3268833125839592,0.04911724573311244,0.9494266939480638,0.0017567472674226508,0.9001869340757458,0.007433679261997672,19.52141761779785,2.6924023876011063
hierarchical_gated_multimodal_transformer,Transformer v1,5,3,0.15897783671168156,0.0069024873143076464,0.3447711018565141,0.06905679287899545,0.9560959739395867,0.0023070622161778125,0.9064580466444788,0.013886315881190738,17.520182609558105,2.72813066423195
hierarchical_gated_multimodal_transformer,Transformer v1,6,3,0.13880309174054523,0.008371557029870436,0.41668830898803816,0.019348236269811647,0.9648279902551257,0.003552234568028909,0.9003845362262662,0.010943304931022925,18.084731419881184,1.5393264545919993
hierarchical_gated_multimodal_transformer,Transformer v1,7,3,0.12023776906032924,0.007785092781814381,0.449323278777575,0.06947395236971614,0.9710034557391783,0.0015147834683210775,0.8963162337627265,0.014416052096436356,17.673022270202637,4.437361463572023
hierarchical_gated_multimodal_transformer,Transformer v1,8,3,0.10784276955287209,0.0014063666046488519,0.49369868809130174,0.038041121418188766,0.9739938611178852,0.0013418380459564283,0.9065253220598543,0.01182707882259471,17.706152598063152,1.5980959803375818
hierarchical_gated_multimodal_transformer,Transformer v1,9,3,0.10106020844828852,0.0046124771256023794,0.5029183970235257,0.049397365642218506,0.9748028578661138,0.0028873416096133015,0.9019690268025299,0.011751579704994044,15.255973815917969,3.235626068868546
hierarchical_gated_multimodal_transformer,Transformer v1,10,3,0.08641345990211698,0.004854071227659882,0.48241356551758535,0.054452703414446,0.9801414436663304,0.0015374679826780874,0.9011702325565798,0.006172866347617549,17.346337000528973,1.3723907633548218
hierarchical_gated_multimodal_transformer,Transformer v1,11,3,0.07805585029045801,0.004973780010130691,0.5485337389913064,0.05418965026874095,0.9818805899708263,0.0006666845691625891,0.8971798101011479,0.0021798803380807157,16.37479241689046,0.7004442872005228
hierarchical_gated_multimodal_transformer,Transformer v1,12,3,0.07782653003595998,0.004357898095764961,0.5320170945103222,0.050968023722655804,0.9829413284588332,0.0006576941697922282,0.9023964216457844,0.008478756882658258,18.899339358011883,2.787807075373942
