model_type,model,epoch,seed_count,train_loss_total_mean,train_loss_total_std,validation_loss_total_mean,validation_loss_total_std,train_intention_macro_f1_mean,train_intention_macro_f1_std,validation_intention_macro_f1_mean,validation_intention_macro_f1_std,validation_pose_position_mae_cm_mean,validation_pose_position_mae_cm_std
hierarchical_gated_multimodal_transformer,Transformer v1,13,3,0.06932475473627672,0.005885187358605347,0.6097678266327357,0.06608304910002742,0.9840144344221895,0.0012638623869359086,0.8958693525480391,0.007775162931926494,16.504730542500813,2.3037800011475533
hierarchical_gated_multimodal_transformer,Transformer v1,14,3,0.06527657386737326,0.003759217143915865,0.5326308093621145,0.018576599534056642,0.9857168114228677,0.002802173510841804,0.9063952328142381,0.010106893563985664,17.420451482137043,3.0878099585450833
hierarchical_gated_multimodal_transformer,Transformer v1,15,3,0.06386807221802403,0.003540560177576237,0.614177262344594,0.05969889920817494,0.9851092268590539,0.0004058764987192972,0.905268375773327,0.007654986888166744,18.732049306233723,1.7540903882868932
hierarchical_window_mlp,MLP,1,3,0.6750392362229215,0.030501591312328602,0.23289242184199835,0.01563785223674417,0.8075722085770288,0.015882358942470687,0.9062562026796774,0.00833570027276401,16.674863815307617,0.03788021933656149
hierarchical_window_mlp,MLP,2,3,0.3719795073470349,0.00832034390273976,0.23179879777515974,0.02834156764877077,0.8965697216754761,0.0029211248557364927,0.9143809916556487,0.012204009867396247,15.843382517496744,1.878325649981737
hierarchical_window_mlp,MLP,3,3,0.30175051613700865,0.0041862080461025075,0.22640125558800284,0.010178412833732976,0.9139948325522993,0.0023751270212114023,0.9171267099352772,0.003634521983685062,18.709715843200684,4.639660755975508
hierarchical_window_mlp,MLP,4,3,0.2571900874752808,0.007581736396835389,0.2324986016295346,0.012417324018553248,0.9270773822703137,0.002509467595048983,0.9184198619726311,0.001224088527224578,14.242688179016113,1.012678154379269
hierarchical_window_mlp,MLP,5,3,0.23187088520348476,0.00841922126102338,0.22367467984821857,0.009141564086749446,0.9353231130797459,0.0015371051623941034,0.9207192303423256,0.003462924952126229,17.91872215270996,0.16632787536308788
hierarchical_window_mlp,MLP,6,3,0.20408047022491663,0.007114026154698898,0.2553863075538954,0.013552264893069696,0.9420883728841791,0.0023418032986219466,0.9181436405419804,0.005962841985949256,15.173040707906088,2.822813237387817
hierarchical_window_mlp,MLP,7,3,0.18256222280294457,0.006912469478591564,0.2620469665213196,0.03009886220124218,0.9469252577993884,0.0019717321501373174,0.9202600601580881,0.006554084725861509,16.50197919209798,0.44660659241052436
hierarchical_window_mlp,MLP,8,3,0.1759356011729778,0.006568237731062261,0.27220142386886437,0.024440033909042515,0.9516665779299571,0.001665477441865242,0.9201543642770121,0.007042356499815294,17.290435155232746,0.004301875195063593
hierarchical_window_mlp,MLP,9,3,0.16731106919536062,0.005778966804994919,0.2958428980005226,0.06118917980538842,0.9548400198301993,0.0018826298768190935,0.9123468292075776,0.010593911264821492,16.087221145629883,2.7367272735075323
hierarchical_window_mlp,MLP,10,3,0.15216659850746836,0.004979463950281637,0.2759143828571247,0.02440901704307356,0.9579612209393075,0.0018697939765508083,0.9140887586215465,0.00934469316219396,16.880523045857746,0.351543373556483
hierarchical_window_mlp,MLP,11,3,0.1422183537788769,0.01095928338234194,0.30805999679902624,0.03399345444899469,0.9610077170714054,0.0028273716531746424,0.9180613462564753,0.004798501035208056,16.30038547515869,1.3096537799636603
hierarchical_window_mlp,MLP,12,3,0.14101736240841964,0.009297219324390222,0.31909457432621346,0.020936460497036225,0.9631396082635463,0.0014695950506674734,0.9205704365345864,0.007544756721551388,15.98281478881836,0.22525141048607494
hierarchical_window_mlp,MLP,13,3,0.13217469544418745,0.005671575796353682,0.29162869243102596,0.04975165420557275,0.9625003643241822,0.0015414508532653238,0.9211093524199456,0.011196954893258752,16.922610600789387,0.9752150908211871
hierarchical_window_mlp,MLP,14,3,0.12679003110921158,0.004447887957548413,0.3297077912270327,0.03936345685657615,0.9673945932735385,0.0030542776352003006,0.9101491788109928,0.008169752569811936,17.836649576822918,1.7561822085092813
hierarchical_window_mlp,MLP,15,3,0.11812532251697139,0.003909319031741178,0.33388759961302467,0.07472875207663937,0.9691932658843223,0.000673694631023169,0.9130336273061871,0.014753966560855465,16.364206314086914,2.226537217012958
hierarchical_gru,GRU,1,3,0.5345261951562731,0.009765554185028584,0.22998771554904082,0.01429328873464346,0.8305011951820583,0.00736871874574751,0.9102332551673874,0.004568648139855647,16.968083063761394,1.6148633056394748
hierarchical_gru,GRU,2,3,0.27779097370332717,0.0034777317161016727,0.23860162240626304,0.0175376539291972,0.9177257953027477,0.002141080959537011,0.9101698816407263,0.006511492043627632,15.195045789082846,1.2374282224855058
hierarchical_gru,GRU,3,3,0.19921843930029023,0.003930273315795238,0.24800479904938366,0.01052069432370683,0.942554207875303,0.00035916121462736545,0.9165199304705537,0.007762911603192076,17.004329363505047,2.6446740814559955
hierarchical_gru,GRU,4,3,0.15519503132685425,0.00316395068377507,0.25579230069057046,0.008999058862473123,0.952604776261848,0.001013647259266155,0.9196685699995677,0.0006600580221286397,16.987117767333984,2.978338301813183
hierarchical_gru,GRU,5,3,0.1310006711139652,0.0023950082517067727,0.2913833344669651,0.04294535031656626,0.9619618606515599,0.002691547848238337,0.918450034547707,0.004980229478967853,16.253442764282227,2.3138484365565457
hierarchical_gru,GRU,6,3,0.10932077857596934,0.0030828766060886784,0.32523593131740897,0.03296618242051347,0.9678689272992362,0.002056296485366921,0.913222728365836,0.01005237463547074,16.998873074849445,1.7250134373774089
hierarchical_gru,GRU,7,3,0.08765600424393853,0.008542973892742174,0.3421637057412919,0.02300794929244165,0.9759306705786245,0.0007908863469434559,0.9156455448356642,0.0036684035419990582,17.232145309448242,1.560469227277333
hierarchical_gru,GRU,8,3,0.07953429864478534,0.009826767663839745,0.4107196166094668,0.07158043682175554,0.9785027904987132,0.0018516511396544034,0.9078290089994342,0.012385770965503846,17.021335283915203,1.4689384709203572
hierarchical_gru,GRU,9,3,0.07176631203838113,0.005302598216661079,0.4373122882368155,0.047101346923909965,0.981317707946403,0.001629972197179294,0.9081909682987664,0.0036080763333038966,16.382611592610676,1.7629667009973622
hierarchical_gru,GRU,10,3,0.06006978898430451,0.003452297295873086,0.38486445658823176,0.04875126765912802,0.9848250629125247,0.0008272801591778341,0.916631767458841,0.002616201345462035,16.43596585591634,0.7611681925876466
hierarchical_gru,GRU,11,3,0.0550932913511619,0.005798125305744963,0.4563351930334209,0.04460895240371254,0.9853188296981017,0.0018115659863413396,0.9091848493491309,0.0025034058912468404,15.912473996480307,1.4663888855663392
hierarchical_gru,GRU,12,3,0.05169008094145947,0.00707157528354713,0.47744582014787057,0.08687273747653274,0.9876930799196267,0.0010293261616399422,0.9121222285326817,0.008163159271094317,15.570909182230631,2.252221156285782
hierarchical_gru,GRU,13,3,0.05158246994323792,0.002826379950596879,0.5411510159559435,0.06530728160043149,0.9875094299151691,0.000481009109431015,0.9073613175768256,0.007024247330688837,16.753759384155273,1.7833383869121608
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,1,3,0.6480517462909626,0.011540588583719135,0.22608920881092284,0.027511585285468387,0.8149570066935047,0.005122679752431991,0.9147710590712376,0.003935052580593696,8.421446323394775,0.8221277303210592
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,2,3,0.3061190609475353,0.004795661594180022,0.2176245997460293,0.03506063376716344,0.9154100156661021,0.0016865014558732087,0.9222658579228552,0.007281297192577804,8.604048728942871,0.8740667340100462
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,3,3,0.23976199625764108,0.005536245707948603,0.24556140822893383,0.006773305792157974,0.9327082753334305,0.002950013587792033,0.9125286811022466,0.008772207597476336,9.522294362386068,1.4836480876068143
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,4,3,0.19066551749561023,0.0031398565062281817,0.3127499115241898,0.05143329469974605,0.9472822970700244,0.0021408154327405755,0.9070286514663017,0.0045235351791972234,10.190197944641113,1.5494822807796247
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,5,3,0.16953124750932305,0.007398391599108626,0.3864260977003748,0.10222062466288304,0.9559687373049984,0.0026211396277001676,0.9034071088780657,0.0026015705041816345,9.926076889038086,1.5855143590119494
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,6,3,0.14300112907916843,0.006562918620266255,0.35296423106012215,0.054557744784746946,0.9634612063922274,0.0022305818467247395,0.9050729204332341,0.009470015650140825,9.437766234079996,1.3574793711590456
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,7,3,0.11479455759351488,0.006353596496892422,0.36422139269561304,0.0707112286850191,0.9701424090007394,0.0026353293683675496,0.9081598971032139,0.011413452348233783,9.416406631469727,1.5607901316663306
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,8,3,0.11244661759958939,0.0014315177745275823,0.48976774479032903,0.0650227236666631,0.9725789963468214,0.0005410810162141427,0.8999786806808293,0.011458609030999302,8.71438455581665,1.3004058247228405
hierarchical_residual_pose_transformer_v2,Residual Transformer v2,9,3,0.10952159080442142,0.00522129530338564,0.4451038633197706,0.04287082047022189,0.976302481439741,0.0011676194156593574,0.9085733606708658,0.00478422477476328,8.945940653483072,0.6041541798288713
