level,group,domain,method,samples,denominator,coverage,accuracy,macro_f1,macro_f1_supported,position_mean_cm,position_median_cm,position_rmse_cm,orientation_mean_deg,orientation_median_deg,position_mean_difference_cm,position_median_difference_cm,orientation_mean_difference_deg,learned_win_fraction,estimate,ci_lower,ci_upper,status,metric_contributing_clusters,valid_replicate_fraction
sequence,Edu_2_20260604_170420,pose,learned_oracle_hand,5,5.0,1.0,,,,19.488620440936796,18.96290401399697,22.490558650071048,62.168170813486256,82.47791961029048,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose,persistence,5,5.0,1.0,,,,21.486651169759398,20.14640446952149,24.954687985105938,74.19832838081501,85.58061361997649,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose,constant_velocity,5,5.0,1.0,,,,41.63753319182213,36.57006626742291,43.64996561285346,74.19832838081501,85.58061361997649,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose_fair_common,learned_oracle_hand,5,5.0,1.0,,,,19.488620440936796,18.96290401399697,22.490558650071048,62.168170813486256,82.47791961029048,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose_fair_common,persistence,5,5.0,1.0,,,,21.486651169759398,20.14640446952149,24.954687985105938,74.19832838081501,85.58061361997649,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose_fair_common,constant_velocity,5,5.0,1.0,,,,41.63753319182213,36.57006626742291,43.64996561285346,74.19832838081501,85.58061361997649,,,,,,,,,,
sequence,Edu_2_20260604_170420,paired_pose_difference,learned_end_to_end_minus_persistence,5,5.0,1.0,,,,,,,,,-1.9980307288226022,-1.1835004555245199,-12.030157567328745,1.0,,,,,,
sequence,Edu_2_20260604_170420,paired_pose_difference,learned_end_to_end_minus_constant_velocity,5,5.0,1.0,,,,,,,,,-22.148912750885337,-9.410670180748472,-12.030157567328745,1.0,,,,,,
sequence,Edu_2_20260604_170420,paired_pose_difference,learned_oracle_hand_minus_persistence,5,5.0,1.0,,,,,,,,,-1.9980307288226022,-1.1835004555245199,-12.030157567328745,1.0,,,,,,
sequence,Edu_2_20260604_170420,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,5,5.0,1.0,,,,,,,,,-22.148912750885337,-9.410670180748472,-12.030157567328745,1.0,,,,,,
sequence,Edu_3_20260604_170622,classification,intention,73,73.0,1.0,0.9452054794520548,0.9227439227439227,0.9227439227439227,,,,,,,,,,,,,,,
sequence,Edu_3_20260604_170622,classification,assistance,73,73.0,1.0,0.958904109589041,0.9529335912314636,0.9529335912314636,,,,,,,,,,,,,,,
sequence,Edu_3_20260604_170622,classification,assistance_type_given_ground_truth_assistance,22,22.0,1.0,0.9545454545454546,0.9544513457556936,0.9544513457556936,,,,,,,,,,,,,,,
sequence,Edu_3_20260604_170622,classification,receiving_hand_given_ground_truth_handover,11,11.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_3_20260604_170622,pose,learned_end_to_end,8,8.0,1.0,,,,13.784538105417523,13.6523245411998,17.80479447831238,47.996449428907056,39.17002811955765,,,,,,,,,,
sequence,Edu_3_20260604_170622,pose,learned_oracle_hand,8,8.0,1.0,,,,13.784538105417523,13.6523245411998,17.80479447831238,47.996449428907056,39.17002811955765,,,,,,,,,,
sequence,Edu_3_20260604_170622,pose,persistence,8,8.0,1.0,,,,15.743628521134667,14.989689485723664,20.927320771391695,61.71930545895522,59.719773286405925,,,,,,,,,,
sequence,Edu_3_20260604_170622,pose,constant_velocity,8,8.0,1.0,,,,28.60832945199239,31.06138185711279,34.1318762078674,61.71930545895522,59.719773286405925,,,,,,,,,,
sequence,Edu_3_20260604_170622,pose_fair_common,learned_oracle_hand,8,8.0,1.0,,,,13.784538105417523,13.6523245411998,17.80479447831238,47.996449428907056,39.17002811955765,,,,,,,,,,
sequence,Edu_3_20260604_170622,pose_fair_common,persistence,8,8.0,1.0,,,,15.743628521134667,14.989689485723664,20.927320771391695,61.71930545895522,59.719773286405925,,,,,,,,,,
sequence,Edu_3_20260604_170622,pose_fair_common,constant_velocity,8,8.0,1.0,,,,28.60832945199239,31.06138185711279,34.1318762078674,61.71930545895522,59.719773286405925,,,,,,,,,,
sequence,Edu_3_20260604_170622,paired_pose_difference,learned_end_to_end_minus_persistence,8,8.0,1.0,,,,,,,,,-1.959090415717145,-0.6309153518423202,-13.722856030048176,0.625,,,,,,
sequence,Edu_3_20260604_170622,paired_pose_difference,learned_end_to_end_minus_constant_velocity,8,8.0,1.0,,,,,,,,,-14.823791346574865,-8.027705354461375,-13.722856030048176,1.0,,,,,,
sequence,Edu_3_20260604_170622,paired_pose_difference,learned_oracle_hand_minus_persistence,8,8.0,1.0,,,,,,,,,-1.959090415717145,-0.6309153518423202,-13.722856030048176,0.625,,,,,,
sequence,Edu_3_20260604_170622,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,8,8.0,1.0,,,,,,,,,-14.823791346574865,-8.027705354461375,-13.722856030048176,1.0,,,,,,
sequence,Edu_4_20260604_170837,classification,intention,94,94.0,1.0,0.9787234042553191,0.9603584558212507,0.9603584558212507,,,,,,,,,,,,,,,
sequence,Edu_4_20260604_170837,classification,assistance,94,94.0,1.0,0.9893617021276596,0.9871496924128502,0.9871496924128502,,,,,,,,,,,,,,,
sequence,Edu_4_20260604_170837,classification,assistance_type_given_ground_truth_assistance,27,27.0,1.0,0.9629629629629629,0.9627586206896552,0.9627586206896552,,,,,,,,,,,,,,,
sequence,Edu_4_20260604_170837,classification,receiving_hand_given_ground_truth_handover,13,13.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_4_20260604_170837,pose,learned_end_to_end,9,9.0,1.0,,,,15.63420231573929,12.600915910675386,19.781949018223106,41.2691654354867,28.895159604596703,,,,,,,,,,
sequence,Edu_4_20260604_170837,pose,learned_oracle_hand,9,9.0,1.0,,,,15.63420231573929,12.600915910675386,19.781949018223106,41.2691654354867,28.895159604596703,,,,,,,,,,
sequence,Edu_4_20260604_170837,pose,persistence,9,9.0,1.0,,,,17.403458076374132,13.01501137573787,22.848022892260833,50.62052117831091,37.57925224680601,,,,,,,,,,
sequence,Edu_4_20260604_170837,pose,constant_velocity,9,9.0,1.0,,,,30.116104721768888,32.774881628133826,37.85669539022096,50.62052117831091,37.57925224680601,,,,,,,,,,
sequence,Edu_4_20260604_170837,pose_fair_common,learned_oracle_hand,9,9.0,1.0,,,,15.63420231573929,12.600915910675386,19.781949018223106,41.2691654354867,28.895159604596703,,,,,,,,,,
sequence,Edu_4_20260604_170837,pose_fair_common,persistence,9,9.0,1.0,,,,17.403458076374132,13.01501137573787,22.848022892260833,50.62052117831091,37.57925224680601,,,,,,,,,,
sequence,Edu_4_20260604_170837,pose_fair_common,constant_velocity,9,9.0,1.0,,,,30.116104721768888,32.774881628133826,37.85669539022096,50.62052117831091,37.57925224680601,,,,,,,,,,
sequence,Edu_4_20260604_170837,paired_pose_difference,learned_end_to_end_minus_persistence,9,9.0,1.0,,,,,,,,,-1.7692557606348427,-0.4140954650624842,-9.351355742824204,0.6666666666666666,,,,,,
sequence,Edu_4_20260604_170837,paired_pose_difference,learned_end_to_end_minus_constant_velocity,9,9.0,1.0,,,,,,,,,-14.481902406029596,-4.602938961934793,-9.351355742824204,0.8888888888888888,,,,,,
sequence,Edu_4_20260604_170837,paired_pose_difference,learned_oracle_hand_minus_persistence,9,9.0,1.0,,,,,,,,,-1.7692557606348427,-0.4140954650624842,-9.351355742824204,0.6666666666666666,,,,,,
sequence,Edu_4_20260604_170837,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,9,9.0,1.0,,,,,,,,,-14.481902406029596,-4.602938961934793,-9.351355742824204,0.8888888888888888,,,,,,
sequence,Edu_5_20260604_170944,classification,intention,93,93.0,1.0,0.956989247311828,0.9153142144320974,0.9153142144320974,,,,,,,,,,,,,,,
sequence,Edu_5_20260604_170944,classification,assistance,93,93.0,1.0,0.989247311827957,0.9873521011831905,0.9873521011831905,,,,,,,,,,,,,,,
sequence,Edu_5_20260604_170944,classification,assistance_type_given_ground_truth_assistance,28,28.0,1.0,0.8928571428571429,0.89272030651341,0.89272030651341,,,,,,,,,,,,,,,
sequence,Edu_5_20260604_170944,classification,receiving_hand_given_ground_truth_handover,16,16.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_5_20260604_170944,pose,learned_end_to_end,12,12.0,1.0,,,,15.135926311031568,12.31965112288174,19.17826791629029,44.15007760050971,35.054097674015324,,,,,,,,,,
sequence,Edu_5_20260604_170944,pose,learned_oracle_hand,12,12.0,1.0,,,,15.135926311031568,12.31965112288174,19.17826791629029,44.15007760050971,35.054097674015324,,,,,,,,,,
sequence,Edu_5_20260604_170944,pose,persistence,12,12.0,1.0,,,,16.932029604092115,12.536886573482576,22.403795538592654,54.0190830924866,43.005180542945425,,,,,,,,,,
sequence,Edu_5_20260604_170944,pose,constant_velocity,12,12.0,1.0,,,,36.55765683395775,35.94200184573948,42.108427032371196,54.0190830924866,43.005180542945425,,,,,,,,,,
sequence,Edu_5_20260604_170944,pose_fair_common,learned_oracle_hand,12,12.0,1.0,,,,15.135926311031568,12.31965112288174,19.17826791629029,44.15007760050971,35.054097674015324,,,,,,,,,,
sequence,Edu_5_20260604_170944,pose_fair_common,persistence,12,12.0,1.0,,,,16.932029604092115,12.536886573482576,22.403795538592654,54.0190830924866,43.005180542945425,,,,,,,,,,
sequence,Edu_5_20260604_170944,pose_fair_common,constant_velocity,12,12.0,1.0,,,,36.55765683395775,35.94200184573948,42.108427032371196,54.0190830924866,43.005180542945425,,,,,,,,,,
sequence,Edu_5_20260604_170944,paired_pose_difference,learned_end_to_end_minus_persistence,12,12.0,1.0,,,,,,,,,-1.7961032930605487,-1.3642922377271085,-9.869005491976909,0.5833333333333334,,,,,,
sequence,Edu_5_20260604_170944,paired_pose_difference,learned_end_to_end_minus_constant_velocity,12,12.0,1.0,,,,,,,,,-21.42173052292618,-12.19390982800342,-9.869005491976909,0.9166666666666666,,,,,,
sequence,Edu_5_20260604_170944,paired_pose_difference,learned_oracle_hand_minus_persistence,12,12.0,1.0,,,,,,,,,-1.7961032930605487,-1.3642922377271085,-9.869005491976909,0.5833333333333334,,,,,,
sequence,Edu_5_20260604_170944,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,12,12.0,1.0,,,,,,,,,-21.42173052292618,-12.19390982800342,-9.869005491976909,0.9166666666666666,,,,,,
sequence,Edu_6_20260616_145740,classification,intention,91,91.0,1.0,0.8791208791208791,0.8196558343617167,0.8196558343617167,,,,,,,,,,,,,,,
sequence,Edu_6_20260616_145740,classification,assistance,91,91.0,1.0,0.9340659340659341,0.9339941972920697,0.9339941972920697,,,,,,,,,,,,,,,
sequence,Edu_6_20260616_145740,classification,assistance_type_given_ground_truth_assistance,44,44.0,1.0,0.8863636363636364,0.84363894811656,0.84363894811656,,,,,,,,,,,,,,,
sequence,Edu_6_20260616_145740,classification,receiving_hand_given_ground_truth_handover,31,31.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_6_20260616_145740,pose,learned_end_to_end,27,27.0,1.0,,,,11.797269733041627,9.736974663350138,15.096301662832994,44.26849062878713,32.80224773859389,,,,,,,,,,
sequence,Edu_6_20260616_145740,pose,learned_oracle_hand,27,27.0,1.0,,,,11.797269733041627,9.736974663350138,15.096301662832994,44.26849062878713,32.80224773859389,,,,,,,,,,
sequence,Edu_6_20260616_145740,pose,persistence,27,27.0,1.0,,,,11.013397541273791,7.993504282260109,16.199496588442507,39.773532495963416,24.778878809855247,,,,,,,,,,
sequence,Edu_6_20260616_145740,pose,constant_velocity,27,27.0,1.0,,,,20.981567607239615,13.30842927286588,29.161165034296854,39.773532495963416,24.778878809855247,,,,,,,,,,
sequence,Edu_6_20260616_145740,pose_fair_common,learned_oracle_hand,27,27.0,1.0,,,,11.797269733041627,9.736974663350138,15.096301662832994,44.26849062878713,32.80224773859389,,,,,,,,,,
sequence,Edu_6_20260616_145740,pose_fair_common,persistence,27,27.0,1.0,,,,11.013397541273791,7.993504282260109,16.199496588442507,39.773532495963416,24.778878809855247,,,,,,,,,,
sequence,Edu_6_20260616_145740,pose_fair_common,constant_velocity,27,27.0,1.0,,,,20.981567607239615,13.30842927286588,29.161165034296854,39.773532495963416,24.778878809855247,,,,,,,,,,
sequence,Edu_6_20260616_145740,paired_pose_difference,learned_end_to_end_minus_persistence,27,27.0,1.0,,,,,,,,,0.783872191767837,0.7418746421913536,4.494958132823713,0.37037037037037035,,,,,,
sequence,Edu_6_20260616_145740,paired_pose_difference,learned_end_to_end_minus_constant_velocity,27,27.0,1.0,,,,,,,,,-9.18429787419799,-1.2024473829459392,4.494958132823713,0.5925925925925926,,,,,,
sequence,Edu_6_20260616_145740,paired_pose_difference,learned_oracle_hand_minus_persistence,27,27.0,1.0,,,,,,,,,0.783872191767837,0.7418746421913536,4.494958132823713,0.37037037037037035,,,,,,
sequence,Edu_6_20260616_145740,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,27,27.0,1.0,,,,,,,,,-9.18429787419799,-1.2024473829459392,4.494958132823713,0.5925925925925926,,,,,,
