seed,run_dir,validation_intention_macro_f1,validation_receiving_hand_macro_f1,validation_pose_mae_cm,checkpoint,checkpoint_sha256,config_sha256
42,Training/runs/dataset_v2_20260802_n214_5d136a34/visual_embedding_final_v1/sensor_plus_clip/visual_embedding_final_v1_sensor_plus_clip_seed42,0.9466006312915806,0.9984825493171472,8.070886611938477,Training/runs/dataset_v2_20260802_n214_5d136a34/visual_embedding_final_v1/sensor_plus_clip/visual_embedding_final_v1_sensor_plus_clip_seed42/best_intention_model.pt,c9de5f091b1230bd0117a99a3fbbd69ae2c28ac67353fc5e644bec56bf73967b,bfefb00ad3b057e7cd7b8c5f67eda82634560ed289d5c6fc5b05e54e2713faf1
43,Training/runs/dataset_v2_20260802_n214_5d136a34/visual_embedding_final_v1/sensor_plus_clip/visual_embedding_final_v1_sensor_plus_clip_seed43,0.9318802798496084,0.9939024390243902,7.875470161437988,Training/runs/dataset_v2_20260802_n214_5d136a34/visual_embedding_final_v1/sensor_plus_clip/visual_embedding_final_v1_sensor_plus_clip_seed43/best_intention_model.pt,e5fec38099b9f7c879a8c410fc6d549682ee12b19d78531511225f37865967e3,c708b170aa95cd948e09c4276d6b92410b351fdb1e5edd2c39ee6d79ac1bf434
44,Training/runs/dataset_v2_20260802_n214_5d136a34/visual_embedding_final_v1/sensor_plus_clip/visual_embedding_final_v1_sensor_plus_clip_seed44,0.933154244016606,0.9984825493171472,7.922566890716553,Training/runs/dataset_v2_20260802_n214_5d136a34/visual_embedding_final_v1/sensor_plus_clip/visual_embedding_final_v1_sensor_plus_clip_seed44/best_intention_model.pt,90228ed5e919ee14858699bc8e9f94b09af510da896401ff6e6cc6deed7f978e,f041c4b6a76a106eea62a5f592199d3d574857f4aa8da169451757327dce3d0c
