sequence_id,participant,rows,intervals,nonpositive_intervals,median_delta_seconds
Paul_14_20260730_201501,Paul,927,926,0,0.033333
Paul_15_20260730_201546,Paul,997,996,0,0.033333
Paul_16_20260730_201647,Paul,883,882,0,0.033333
Paul_17_20260730_201734,Paul,791,790,0,0.033333
Paul_18_20260730_201826,Paul,960,959,0,0.033333
Paul_19_20260730_201912,Paul,1007,1006,0,0.033333
Paul_1_20260730_195810,Paul,823,822,0,0.033333
Paul_20_20260730_202000,Paul,873,872,0,0.033333
Paul_21_20260730_202043,Paul,997,996,0,0.033333
Paul_22_20260730_202129,Paul,945,944,0,0.033333
Paul_23_20260730_202216,Paul,804,803,0,0.033333
Paul_24_20260730_202257,Paul,967,966,0,0.033333
Paul_25_20260730_202344,Paul,754,753,0,0.033333
Paul_2_20260730_195858,Paul,866,865,0,0.033333
Paul_3_20260730_195956,Paul,827,826,0,0.033333
Paul_4_20260730_200057,Paul,889,888,0,0.033333
Paul_5_20260730_200140,Paul,827,826,0,0.033333
Paul_6_20260730_200221,Paul,974,973,0,0.033333
Paul_7_20260730_200314,Paul,833,832,0,0.033333
Paul_8_20260730_200353,Paul,1023,1022,0,0.033333
Paul_9_20260730_200546,Paul,882,881,0,0.033333
Suthan_1_20260604_164834,Suthan,1225,1224,0,0.033333
Suthan_2_20260604_165031,Suthan,1040,1039,0,0.033333
Suthan_3_20260604_165324,Suthan,1024,1023,0,0.033333
Suthan_4_20260604_165434,Suthan,994,993,0,0.033333
Tarik_10_20260704_142949,Tarik,1282,1281,0,0.033333
Tarik_11_20260704_143216,Tarik,1367,1366,0,0.033333
Tarik_12_20260704_143334,Tarik,1067,1066,0,0.033333
Tarik_13_20260704_143446,Tarik,1191,1190,0,0.033333
Tarik_14_20260704_143554,Tarik,1257,1256,0,0.033333
Tarik_15_20260704_143803,Tarik,1569,1568,0,0.033333
Tarik_16_20260704_143930,Tarik,1105,1104,0,0.033333
Tarik_17_20260704_144050,Tarik,1231,1230,0,0.033333
Tarik_18_20260704_144512,Tarik,1364,1363,0,0.033333
Tarik_1_20260704_141845,Tarik,1463,1462,0,0.033333
Tarik_20_20260704_145000,Tarik,1232,1231,0,0.033333
Tarik_21_20260704_145054,Tarik,1247,1246,0,0.033333
Tarik_23_20260704_145434,Tarik,1312,1311,0,0.033333
Tarik_24_20260704_145314,Tarik,1086,1085,0,0.033333
Tarik_2_20260704_142022,Tarik,1613,1612,0,0.033333
Tarik_3_20260704_142144,Tarik,1038,1037,0,0.033333
Tarik_4_20260704_142308,Tarik,1101,1100,0,0.033333
Tarik_5_20260704_142458,Tarik,1147,1146,0,0.033333
Tarik_6_20260704_142555,Tarik,1129,1128,0,0.033333
Tarik_7_20260704_142646,Tarik,1162,1161,0,0.033333
Tarik_8_20260704_142759,Tarik,1308,1307,0,0.033333
Tarik_9_20260704_142856,Tarik,1260,1259,0,0.033333
Test_2_20260624_122206,Test,770,769,0,0.033333
Test_3_20260624_122314,Test,742,741,0,0.033333
Test_4_20260624_122416,Test,839,838,0,0.033333
Test_5_20260624_122509,Test,701,700,0,0.033333
Test_6_20260624_122607,Test,789,788,0,0.033333
Test_7_20260624_122709,Test,733,732,0,0.033333
Urim_10_20260616_145015,Urim,1159,1158,0,0.033333
Urim_1_20260604_160102,Urim,1191,1190,0,0.033333
Urim_2_20260604_160234,Urim,709,708,0,0.033333
Urim_3_20260604_160345,Urim,998,997,0,0.033333
Urim_4_20260604_160502,Urim,1022,1021,0,0.033333
Urim_5_20260604_160634,Urim,1092,1091,0,0.033333
Urim_6_20260616_144055,Urim,1006,1005,0,0.033333
Urim_7_20260616_144229,Urim,998,997,0,0.033333
Urim_8_20260616_144352,Urim,1039,1038,0,0.033333
Urim_9_20260616_144841,Urim,1124,1123,0,0.033333
Yuzhi_10_20260715_135531,Yuzhi,691,690,0,0.033333
Yuzhi_1_20260715_134210,Yuzhi,896,895,0,0.033333
Yuzhi_2_20260715_134641,Yuzhi,736,735,0,0.033333
Yuzhi_3_20260715_134755,Yuzhi,747,746,0,0.033333
Yuzhi_4_20260715_134842,Yuzhi,765,764,0,0.033333
Yuzhi_5_20260715_134954,Yuzhi,772,771,0,0.033333
Yuzhi_6_20260715_135122,Yuzhi,2047,2046,0,0.033333
Yuzhi_7_20260715_135245,Yuzhi,762,761,0,0.033333
Yuzhi_8_20260715_135404,Yuzhi,602,601,0,0.033333
Yuzhi_9_20260715_135444,Yuzhi,861,860,0,0.033333
david_7_20260715_141225,David,1073,1072,0,0.033333
david_8_20260715_141314,David,1114,1113,0,0.033333
Atilla_1_20260616_184923,Atilla,1162,1161,0,0.033333
Atilla_2_20260616_185042,Atilla,982,981,0,0.033333
Atilla_3_20260616_185212,Atilla,1006,1005,0,0.033333
Atilla_4_20260616_185327,Atilla,1009,1008,0,0.033333
Atilla_5_20260616_185449,Atilla,987,986,0,0.033333
Atilla_6_20260616_185613,Atilla,1000,999,0,0.033333
Atilla_7_20260616_185714,Atilla,996,995,0,0.033333
Atilla_8_20260616_185812,Atilla,964,963,0,0.033333
Ermal_1_20260604_151723,Ermal,1013,1012,0,0.033333
Ermal_2_20260604_151912,Ermal,1120,1119,0,0.033333
Ermal_3_20260604_152032,Ermal,818,817,0,0.033333
Ermal_4_20260604_152214,Ermal,988,987,0,0.033333
Ermal_5_20260616_153530,Ermal,987,986,0,0.033333
Ermal_6_20260616_153648,Ermal,1158,1157,0,0.033333
Ermal_7_20260616_153921,Ermal,1474,1473,0,0.033333
Ermal_8_20260616_154054,Ermal,1160,1159,0,0.033333
Ermal_9_20260616_154205,Ermal,1174,1173,0,0.033333
Vanessa_2_20260624_132710,Vanessa,1091,1090,0,0.033333
Vanessa_3_20260624_132807,Vanessa,1243,1242,0,0.033333
Vanessa_5_20260624_133059,Vanessa,1033,1032,0,0.033333
Vanessa_6_20260624_133209,Vanessa,1095,1094,0,0.033333
Edu_10_20260616_150412,Edu,988,987,0,0.033333
Edu_2_20260604_170420,Edu,718,717,0,0.033333
