rank,trial_tag,completed_seeds,validation_intention_macro_f1_mean,validation_intention_macro_f1_std,validation_receiving_hand_macro_f1_mean,validation_receiving_hand_macro_f1_std,validation_pose_mae_cm_mean,validation_pose_mae_cm_std,trainable_parameters_mean,trainable_parameters_std,wall_seconds_mean,wall_seconds_std,within_f1_tolerance
1,trial_022,3,0.9311180773600837,0.006406271364956336,0.996443836949345,0.002883174680323707,8.793761571248373,0.6946931810057578,63023.0,0.0,277.4040093783212,29.39552165699702,True
2,trial_020,3,0.9272319331654039,0.0012356196355299773,0.9984810118797786,0.001240876739026639,9.603684902191162,1.3570142174907516,531343.0,0.0,541.590730587331,32.885924140495106,True
3,trial_001,3,0.9254359827062038,0.001326675342836767,0.9984810118797786,0.0012408767390266393,8.5878054300944,0.2783618650052659,662927.0,0.0,834.0955268623462,22.065699376764297,False
