case,selection_version,sample_key,participant,sequence_id,endpoint_timestamp_ns,display_rgb_frame_index,display_rgb_capture_timestamp_ns,display_after_prediction_ms,ground_truth_intention,predicted_intention,intention_correct,ground_truth_receiving_hand,sequence_receiving_hand,predicted_receiving_hand,predicted_receiving_hand_probability,position_error_cm,orientation_error_deg,learned_end_to_end_available,probability_continue,probability_fetch,probability_handover,ground_truth_future_wrist_x_m,ground_truth_future_wrist_y_m,ground_truth_future_wrist_z_m,ground_truth_future_wrist_qx,ground_truth_future_wrist_qy,ground_truth_future_wrist_qz,ground_truth_future_wrist_qw,predicted_future_wrist_x_m,predicted_future_wrist_y_m,predicted_future_wrist_z_m,predicted_future_wrist_qx,predicted_future_wrist_qy,predicted_future_wrist_qz,predicted_future_wrist_qw
good,qualitative_good_typical_failure_v1,test|Jona_7_20260616_182214|2283212231000,Jona,Jona_7_20260616_182214,2283212231000,1082,2283220709690,8.47869,handover,handover,True,right,right,right,0.9999685287475586,0.7780916161985197,5.890681267350656,True,0.0004896122845821,0.0001186605513794,0.9993917346000672,0.1059154048562049,0.3041183352470398,0.0601027868688106,-0.4184360206127167,-0.3350264132022857,0.3785628080368042,0.7545586824417114,0.1058244183659553,0.3061938285827636,0.0676012337207794,-0.4330590665340423,-0.2913190722465515,0.4012444913387298,0.7527256608009338
typical,qualitative_good_typical_failure_v1,test|Edu_3_20260604_170622|7667812240000,Edu,Edu_3_20260604_170622,7667812240000,770,7667844428536,32.188536,handover,handover,True,right,right,right,0.999976396560669,8.437032775598297,37.65081713426568,True,0.000267912633717,0.0002157312555937,0.9995163083076476,0.1103147268295288,0.4044341742992401,0.0956168696284294,-0.4422789812088012,-0.424982488155365,0.3220097720623016,0.7211719155311584,0.1112313270568847,0.4390995502471924,0.1725312620401382,-0.2928754091262817,-0.1871762871742248,0.4592714607715606,0.8174709677696228
failure,qualitative_good_typical_failure_v1,test|Mona_6_20260624_123930|1494602942000,Mona,Mona_6_20260624_123930,1494602942000,1280,1494619820624,16.878624,handover,fetch,False,left,left,right,0.5228343605995178,54.78418952590607,107.14322888800136,True,0.0007844566134735,0.9968371391296388,0.0023782753851264,0.1554668545722961,0.309726357460022,0.0896728411316871,-0.2729648351669311,0.5135156512260437,-0.6870512366294861,0.4356058537960052,0.4695405960083008,0.6648409366607666,-0.18488509953022,0.2642722427845001,-0.179877683520317,0.8670880794525146,0.3820503950119018
