variant,completed_seeds,test_intention_macro_f1_mean,test_intention_macro_f1_std,test_intention_accuracy_mean,test_intention_accuracy_std,test_receiving_hand_macro_f1_mean,test_receiving_hand_macro_f1_std,test_pose_mae_cm_mean,test_pose_mae_cm_std,test_pose_end_to_end_mae_cm_mean,test_pose_end_to_end_mae_cm_std,test_pose_at_intention_checkpoint_mae_cm_mean,test_pose_at_intention_checkpoint_mae_cm_std,test_pose_end_to_end_at_intention_checkpoint_mae_cm_mean,test_pose_end_to_end_at_intention_checkpoint_mae_cm_std,test_intention_macro_f1_at_pose_checkpoint_mean,test_intention_macro_f1_at_pose_checkpoint_std,trainable_parameters_mean,trainable_parameters_std,delta_test_intention_macro_f1_mean_vs_sensor,delta_test_intention_accuracy_mean_vs_sensor,delta_test_receiving_hand_macro_f1_mean_vs_sensor,delta_test_pose_mae_cm_mean_vs_sensor,delta_test_pose_end_to_end_mae_cm_mean_vs_sensor,delta_test_pose_at_intention_checkpoint_mae_cm_mean_vs_sensor,delta_test_pose_end_to_end_at_intention_checkpoint_mae_cm_mean_vs_sensor,delta_trainable_parameters_mean_vs_sensor
sensor_baseline,3,0.8630733040662276,0.0038858542690205873,0.906472643216451,0.004429783783535428,0.9348846046935909,0.03736795109219714,15.206881841023764,0.437860530768227,15.331759134928385,0.5502189019270315,15.552241325378418,0.23428636979659412,15.52968947092692,0.136540228932379,0.8301452699204107,0.015922048013082116,63023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
selected_visual,3,0.8404814699663613,0.00822442505881678,0.8891920646031698,0.0030240882476933197,0.921640691766255,0.03492813840469039,14.881158828735352,0.18475150354769465,15.806873003641764,1.2404613546534478,14.637516975402832,0.06095946820017263,15.041634559631348,0.1652429634461305,0.8466810406583317,0.01137800616107039,67119.0,0.0,-0.022591834099866315,-0.01728057861328125,-0.013243912927335955,-0.32572301228841205,0.4751138687133789,-0.9147243499755859,-0.4880549112955723,4096.0
