platform,measurement,latency_ms
mac_cpu,model_forward,1.1915
mac_cpu,model_forward,1.20125
mac_cpu,model_forward,1.133
mac_cpu,model_forward,1.126666
mac_cpu,model_forward,1.100792
mac_cpu,model_forward,1.144959
mac_cpu,model_forward,1.11
mac_cpu,model_forward,1.144625
mac_cpu,model_forward,1.10275
mac_cpu,model_forward,1.110917
mac_cpu,model_forward,1.105959
mac_cpu,model_forward,1.093708
mac_cpu,model_forward,1.085208
mac_cpu,model_forward,1.091083
mac_cpu,model_forward,1.159833
mac_cpu,model_forward,1.103916
mac_cpu,model_forward,1.102417
mac_cpu,model_forward,1.108792
mac_cpu,model_forward,1.163167
mac_cpu,model_forward,1.12525
mac_cpu,model_forward,1.119
mac_cpu,model_forward,1.111583
mac_cpu,model_forward,1.07825
mac_cpu,model_forward,1.1045
mac_cpu,model_forward,1.105292
mac_cpu,model_forward,1.107375
mac_cpu,model_forward,1.082625
mac_cpu,model_forward,1.101291
mac_cpu,model_forward,1.089459
mac_cpu,model_forward,1.09975
mac_cpu,model_forward,1.39
mac_cpu,model_forward,1.10875
mac_cpu,model_forward,1.068833
mac_cpu,model_forward,1.122166
mac_cpu,model_forward,1.107917
mac_cpu,model_forward,1.089417
mac_cpu,model_forward,1.099709
mac_cpu,model_forward,1.058125
mac_cpu,model_forward,1.090459
mac_cpu,model_forward,1.111292
mac_cpu,model_forward,1.127292
mac_cpu,model_forward,1.095667
mac_cpu,model_forward,1.11775
mac_cpu,model_forward,1.132042
mac_cpu,model_forward,1.087875
mac_cpu,model_forward,1.19175
mac_cpu,model_forward,1.124958
mac_cpu,model_forward,1.123125
mac_cpu,model_forward,1.117583
mac_cpu,model_forward,1.078792
mac_cpu,model_forward,1.090542
mac_cpu,model_forward,1.107917
mac_cpu,model_forward,1.12325
mac_cpu,model_forward,1.105375
mac_cpu,model_forward,1.110209
mac_cpu,model_forward,1.109
mac_cpu,model_forward,1.097959
mac_cpu,model_forward,1.092
mac_cpu,model_forward,1.105541
mac_cpu,model_forward,1.089959
mac_cpu,model_forward,1.096291
mac_cpu,model_forward,1.084
mac_cpu,model_forward,1.211167
mac_cpu,model_forward,1.121041
mac_cpu,model_forward,1.129666
mac_cpu,model_forward,1.0995
mac_cpu,model_forward,1.092208
mac_cpu,model_forward,1.125375
mac_cpu,model_forward,1.108875
mac_cpu,model_forward,1.119875
mac_cpu,model_forward,1.150833
mac_cpu,model_forward,1.109417
mac_cpu,model_forward,1.11775
mac_cpu,model_forward,1.092375
mac_cpu,model_forward,1.097
mac_cpu,model_forward,1.125625
mac_cpu,model_forward,1.18825
mac_cpu,model_forward,1.09625
mac_cpu,model_forward,1.159833
mac_cpu,model_forward,1.104084
mac_cpu,model_forward,1.093833
mac_cpu,model_forward,1.096792
mac_cpu,model_forward,1.066625
mac_cpu,model_forward,1.095625
mac_cpu,model_forward,1.096666
mac_cpu,model_forward,1.117667
mac_cpu,model_forward,1.112333
mac_cpu,model_forward,1.100958
mac_cpu,model_forward,1.1095
mac_cpu,model_forward,1.093083
mac_cpu,model_forward,1.101833
mac_cpu,model_forward,1.116125
mac_cpu,model_forward,1.0875
mac_cpu,model_forward,1.372875
mac_cpu,model_forward,1.302042
mac_cpu,model_forward,1.117917
mac_cpu,model_forward,1.095792
mac_cpu,model_forward,1.146709
mac_cpu,model_forward,1.096125
mac_cpu,model_forward,1.107084
mac_cpu,model_forward,1.099666
mac_cpu,model_forward,1.116708
mac_cpu,model_forward,1.090916
mac_cpu,model_forward,1.10225
mac_cpu,model_forward,1.099334
mac_cpu,model_forward,1.132333
mac_cpu,model_forward,1.132125
mac_cpu,model_forward,1.127791
mac_cpu,model_forward,1.087583
mac_cpu,model_forward,1.096375
mac_cpu,model_forward,1.133709
mac_cpu,model_forward,1.079417
mac_cpu,model_forward,1.109708
mac_cpu,model_forward,1.142042
mac_cpu,model_forward,1.095334
mac_cpu,model_forward,1.085125
mac_cpu,model_forward,1.152875
mac_cpu,model_forward,1.120333
mac_cpu,model_forward,1.111417
mac_cpu,model_forward,1.138875
mac_cpu,model_forward,1.116916
mac_cpu,model_forward,1.116542
mac_cpu,model_forward,1.139458
mac_cpu,model_forward,1.178792
mac_cpu,model_forward,1.121458
mac_cpu,model_forward,1.091375
mac_cpu,model_forward,1.150416
