level,group,domain,method,samples,denominator,coverage,accuracy,macro_f1,macro_f1_supported,position_mean_cm,position_median_cm,position_rmse_cm,orientation_mean_deg,orientation_median_deg,position_mean_difference_cm,position_median_difference_cm,orientation_mean_difference_deg,learned_win_fraction,estimate,ci_lower,ci_upper,status,metric_contributing_clusters,valid_replicate_fraction
window,all,classification,intention,2199,2199.0,1.0,0.91268758526603,0.8730108777545712,0.8730108777545712,,,,,,,,,,,,,,,
window,all,classification,assistance,2199,2199.0,1.0,0.9363346975898136,0.926254577649,0.926254577649,,,,,,,,,,,,,,,
window,all,classification,assistance_type_given_ground_truth_assistance,647,647.0,1.0,0.910355486862442,0.909654275808937,0.909654275808937,,,,,,,,,,,,,,,
window,all,classification,receiving_hand_given_ground_truth_handover,304,304.0,1.0,0.8486842105263158,0.8016791468118901,0.8016791468118901,,,,,,,,,,,,,,,
window,all,pose,learned_end_to_end,206,217.0,0.9493087557603687,,,,17.04969825286469,12.474187134914528,21.779740348754967,51.19548209577662,29.03498927469733,,,,,,,,,,
window,all,pose,learned_oracle_hand,214,217.0,0.9861751152073732,,,,15.820451126871136,12.1430091917699,20.333622520813623,44.03553290602474,29.03498927469733,,,,,,,,,,
window,all,pose,persistence,214,217.0,0.9861751152073732,,,,14.965275549312453,6.707455036400161,22.50912885096108,42.4043839226949,15.658195619648684,,,,,,,,,,
window,all,pose,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,learned_oracle_hand,213,217.0,0.9815668202764977,,,,15.727066479504314,12.097563432112612,20.23388190590423,43.70941634315042,28.88277771647813,,,,,,,,,,
window,all,pose_fair_common,persistence,213,217.0,0.9815668202764977,,,,14.80422205700099,6.342896434320831,22.30791016833363,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_persistence,203,217.0,0.9354838709677419,,,,,,,,,1.4330687224954854,1.184340768492316,6.150781413223417,0.3694581280788177,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_constant_velocity,202,217.0,0.9308755760368663,,,,,,,,,-16.09153835683344,-5.218555682475693,5.9303614272909435,0.6485148514851485,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_persistence,214,217.0,0.9861751152073732,,,,,,,,,0.8551755775586822,1.2126613561030197,1.6311489833298545,0.37383177570093457,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,213,217.0,0.9815668202764977,,,,,,,,,-17.763288466078844,-5.357275151188,1.6604477807883073,0.6525821596244131,,,,,,
sequence,Edu_10_20260616_150412,classification,intention,87,87.0,1.0,0.8045977011494253,0.8128991060025542,0.8128991060025542,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance,87,87.0,1.0,0.8275862068965517,0.8275862068965517,0.8275862068965517,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance_type_given_ground_truth_assistance,36,36.0,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,receiving_hand_given_ground_truth_handover,19,19.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,learned_end_to_end,16,16.0,1.0,,,,24.05017355578136,24.159812146469392,28.763159000617286,51.01068806892605,36.45350799464299,,,,,,,,,,
