level,group,domain,method,samples,denominator,coverage,accuracy,macro_f1,macro_f1_supported,position_mean_cm,position_median_cm,position_rmse_cm,orientation_mean_deg,orientation_median_deg,position_mean_difference_cm,position_median_difference_cm,orientation_mean_difference_deg,learned_win_fraction,estimate,ci_lower,ci_upper,status,metric_contributing_clusters,valid_replicate_fraction
window,all,classification,intention,2199,2199.0,1.0,0.8863119599818099,0.8337875080095917,0.8337875080095917,,,,,,,,,,,,,,,
window,all,classification,assistance,2199,2199.0,1.0,0.9154160982264665,0.9039079239183552,0.9039079239183552,,,,,,,,,,,,,,,
window,all,classification,assistance_type_given_ground_truth_assistance,647,647.0,1.0,0.9010819165378671,0.9010419653952777,0.9010419653952777,,,,,,,,,,,,,,,
window,all,classification,receiving_hand_given_ground_truth_handover,304,304.0,1.0,0.9177631578947368,0.8990100325559764,0.8990100325559764,,,,,,,,,,,,,,,
window,all,pose,learned_end_to_end,217,217.0,1.0,,,,15.139427263346054,9.994745787570212,19.938975410737637,43.838911689971205,21.12826980118036,,,,,,,,,,
window,all,pose,learned_oracle_hand,214,217.0,0.9861751152073732,,,,15.074098063148144,9.95491963759254,19.954204603824554,39.52089979063098,20.707770930683665,,,,,,,,,,
window,all,pose,persistence,214,217.0,0.9861751152073732,,,,14.965275549312453,6.707455036400161,22.50912885096108,42.4043839226949,15.658195619648684,,,,,,,,,,
window,all,pose,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,learned_oracle_hand,213,217.0,0.9815668202764977,,,,15.030124850228896,9.933914992086718,19.93076130407231,39.17705304852796,20.55438691841684,,,,,,,,,,
window,all,pose_fair_common,persistence,213,217.0,0.9815668202764977,,,,14.80422205700099,6.342896434320831,22.30791016833363,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,pose_fair_common,constant_velocity,213,217.0,0.9815668202764977,,,,33.49035494558316,28.088438737903104,47.923339307254395,42.04896856236211,15.505820107708042,,,,,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_persistence,214,217.0,0.9861751152073732,,,,,,,,,-0.020615233329512154,1.4470118038092572,-0.24205052585111833,0.35046728971962615,,,,,,
window,all,paired_pose_difference,learned_end_to_end_minus_constant_velocity,213,217.0,0.9815668202764977,,,,,,,,,-18.547346998170053,-5.924910980633072,-0.4938656693567189,0.6713615023474179,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_persistence,214,217.0,0.9861751152073732,,,,,,,,,0.10882251383568899,1.3690437159783015,-2.8834841320639173,0.3598130841121495,,,,,,
window,all,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,213,217.0,0.9815668202764977,,,,,,,,,-18.460230095354266,-5.924910980633072,-2.8719155138341486,0.6713615023474179,,,,,,
sequence,Edu_10_20260616_150412,classification,intention,87,87.0,1.0,0.8275862068965517,0.8131313131313131,0.8131313131313131,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance,87,87.0,1.0,0.8620689655172413,0.8619047619047618,0.8619047619047618,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,assistance_type_given_ground_truth_assistance,36,36.0,1.0,0.9166666666666666,0.9166023166023165,0.9166023166023165,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,classification,receiving_hand_given_ground_truth_handover,19,19.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,learned_end_to_end,16,16.0,1.0,,,,23.890225487797068,24.28845846237003,28.59251745686248,48.27394921592624,33.67551928458593,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,learned_oracle_hand,16,16.0,1.0,,,,23.890225487797068,24.28845846237003,28.59251745686248,48.27394921592624,33.67551928458593,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,persistence,16,16.0,1.0,,,,25.566901574789515,25.04009698600112,32.05837128446061,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose,constant_velocity,16,16.0,1.0,,,,53.98047030998142,53.48416582047891,62.949131207376006,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,learned_oracle_hand,16,16.0,1.0,,,,23.890225487797068,24.28845846237003,28.59251745686248,48.27394921592624,33.67551928458593,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,persistence,16,16.0,1.0,,,,25.566901574789515,25.04009698600112,32.05837128446061,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,pose_fair_common,constant_velocity,16,16.0,1.0,,,,53.98047030998142,53.48416582047891,62.949131207376006,63.98403523484791,47.030379780373465,,,,,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_end_to_end_minus_persistence,16,16.0,1.0,,,,,,,,,-1.6766760869924502,-0.5183785667898597,-15.710086018921679,0.5625,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_end_to_end_minus_constant_velocity,16,16.0,1.0,,,,,,,,,-30.090244822184356,-14.311474145819599,-15.710086018921679,0.9375,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_oracle_hand_minus_persistence,16,16.0,1.0,,,,,,,,,-1.6766760869924502,-0.5183785667898597,-15.710086018921679,0.5625,,,,,,
sequence,Edu_10_20260616_150412,paired_pose_difference,learned_oracle_hand_minus_constant_velocity,16,16.0,1.0,,,,,,,,,-30.090244822184356,-14.311474145819599,-15.710086018921679,0.9375,,,,,,
sequence,Edu_2_20260604_170420,classification,intention,62,62.0,1.0,0.967741935483871,0.945288753799392,0.945288753799392,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,assistance,62,62.0,1.0,0.967741935483871,0.9560283687943263,0.9560283687943263,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,assistance_type_given_ground_truth_assistance,16,16.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,classification,receiving_hand_given_ground_truth_handover,8,8.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,
sequence,Edu_2_20260604_170420,pose,learned_end_to_end,5,5.0,1.0,,,,19.323522104400986,19.709512322903684,22.47071123664257,63.63400194534531,58.12834743958371,,,,,,,,,,
